import time: self [us] | cumulative | imported package
import time:      7309 |       7309 |                     platform
import time:     10505 |      17814 |                   sqlalchemy.util.compat
import time:      3273 |      21087 |                 sqlalchemy.exc
import time:      7281 |      28368 |               sqlalchemy.cyextension.util
import time:       278 |      33482 |             sqlalchemy.util._has_cy
import time:       859 |        859 |             sqlalchemy.util.typing
import time:       842 |      35182 |           sqlalchemy.util._collections
import time:        90 |         90 |             greenlet
import time:       745 |        834 |           sqlalchemy.util.concurrency
import time:      2881 |       2881 |             sqlalchemy.util.langhelpers
import time:       611 |       3491 |           sqlalchemy.util.deprecations
import time:       536 |      40965 |         sqlalchemy.util
import time:       409 |        409 |                           sqlalchemy.event.registry
import time:       284 |        692 |                         sqlalchemy.event.legacy
import time:       770 |       1462 |                       sqlalchemy.event.attr
import time:       459 |       1920 |                     sqlalchemy.event.base
import time:       319 |       2239 |                   sqlalchemy.event.api
import time:       231 |       2469 |                 sqlalchemy.event
import time:       370 |        370 |                       sqlalchemy.log
import time:      1262 |       1632 |                     sqlalchemy.pool.base
import time:       763 |       2395 |                   sqlalchemy.pool.events
import time:       298 |        298 |                     sqlalchemy.util.queue
import time:       400 |        698 |                   sqlalchemy.pool.impl
import time:       344 |       3436 |                 sqlalchemy.pool
import time:       627 |        627 |                       sqlalchemy.sql.roles
import time:       312 |        312 |                       sqlalchemy.inspection
import time:      1255 |       2194 |                     sqlalchemy.sql._typing
import time:       787 |        787 |                       sqlalchemy.sql.visitors
import time:      1057 |       1057 |                       sqlalchemy.sql.cache_key
import time:       619 |        619 |                         sqlalchemy.sql.operators
import time:       429 |       1047 |                       sqlalchemy.sql.traversals
import time:      1809 |       4699 |                     sqlalchemy.sql.base
import time:       948 |        948 |                       sqlalchemy.sql.coercions
import time:       365 |        365 |                             sqlalchemy.sql.annotation
import time:      1042 |       1042 |                                 sqlalchemy.sql.type_api
import time:      3631 |       4673 |                               sqlalchemy.sql.elements
import time:       317 |        317 |                               sqlalchemy.util.topological
import time:      1363 |       6353 |                             sqlalchemy.sql.ddl
import time:       551 |        551 |                                     _compat_pickle
import time:      2292 |       2292 |                                     _pickle
import time:        58 |         58 |                                         org
import time:        12 |         69 |                                       org.python
import time:         9 |         77 |                                     org.python.core
import time:       764 |       3684 |                                   pickle
import time:       317 |        317 |                                     sqlalchemy.engine._py_processors
import time:       213 |        529 |                                   sqlalchemy.engine.processors
import time:      2214 |       6426 |                                 sqlalchemy.sql.sqltypes
import time:     12668 |      19093 |                               sqlalchemy.sql.selectable
import time:      2681 |      21774 |                             sqlalchemy.sql.schema
import time:       987 |      29477 |                           sqlalchemy.sql.util
import time:      1353 |      30830 |                         sqlalchemy.sql.dml
import time:       620 |      31450 |                       sqlalchemy.sql.crud
import time:      2821 |       2821 |                       sqlalchemy.sql.functions
import time:      2998 |      38215 |                     sqlalchemy.sql.compiler
import time:       204 |        204 |                       sqlalchemy.sql._dml_constructors
import time:       345 |        345 |                       sqlalchemy.sql._elements_constructors
import time:       293 |        293 |                       sqlalchemy.sql._selectable_constructors
import time:       669 |        669 |                       sqlalchemy.sql.lambdas
import time:       332 |       1839 |                     sqlalchemy.sql.expression
import time:       671 |        671 |                       sqlalchemy.sql.events
import time:       310 |        980 |                     sqlalchemy.sql.naming
import time:       343 |        343 |                     sqlalchemy.sql.default_comparator
import time:      5684 |      53950 |                   sqlalchemy.sql
import time:        13 |      53962 |                 sqlalchemy.sql.compiler
import time:      1965 |      61830 |               sqlalchemy.engine.interfaces
import time:       249 |        249 |               sqlalchemy.engine.util
import time:      1516 |      63594 |             sqlalchemy.engine.base
import time:      1979 |      65572 |           sqlalchemy.engine.events
import time:       194 |        194 |               sqlalchemy.dialects
import time:       772 |        966 |             sqlalchemy.engine.url
import time:       223 |        223 |             sqlalchemy.engine.mock
import time:       560 |       1748 |           sqlalchemy.engine.create
import time:       534 |        534 |               sqlalchemy.engine.row
import time:      1240 |       1773 |             sqlalchemy.engine.result
import time:      1112 |       2885 |           sqlalchemy.engine.cursor
